id,initials,name,position,birthday,age,height,gen,fullname,engname,nationality,etc
1,E,E,헌터즈 · 수호자,04/21,41,192,1,에반 하워드 브라이트,Evan Howard Bright,미국,1. 테디베어 수집
2,N,N,헌터즈 · 맹수,05/15,27,178,2,니케 바네사 와이즈맨,Nike Vanessa Wiseman,미국 · 스타레인,1. 키링 부자
3,S,S,헌터즈 · 도살자,10/10,22,157,2,슈슈,Chouchou,프랑스 · 스타레인 슬럼 보육원,1. 유니온에 와서 제대로 읽고 쓰는 법을 배웠음.
4,오,오르티,헌터즈 · 천방지축,모른다! 매일이 생일이면 좋겠도다!,200,166,?,오르토스,Όρθρος,게이트?,1. 군주들 중 마당발
5,H,H,이글아이 · 피곤한 리더,07/08,33,185,1,헤르베르트 페터 슈나이더,Herbert Peter Schneider,독일 · 스타레인,1. R과 예술학교 동기
6,L,L,이글아이 · 이해자,03/20,20,165,1,라비 블랑쉬 브누아,Lavi Blanche Benoit,프랑스,1. 익힌 당근을 싫어함
7,M,M,울프독 · 변덕쟁이,07/03,26,188,1,모르페우스 레지오,Morpheus Leggio,이탈리아,1. 파스타 취향은 오일
8,테,테리 도버만,"울프독 · 추격자, 앙숙",08/26,24,180,1.5,테리 로이드 도버만,Terry Dobermann,독일-미국 혼혈 · 스타레인,1. 슬픈 영화는 무조건 눈물 버튼
9,A,A,울프독 · 악몽,01/15,24,184,2,앙헬 헤세 베르너,Angel Hesse Werner,독일 · 스타레인 슬럼,1. 격식+감정 격화 시 반말\n2. 미니어처 가챠 수집
10,I,I,울프독 · 유쾌한 친구?,09/21,24,182,,아이작,Isaac,독일 · 스타레인 슬럼,1. 자신의 이름만 기억하고 있음
11,J,J,"드라칼 · 불편한 동거인, 웬수",10/21,26,182,1,주다스 데이 와이즈맨,Judas Day Wiseman,미국 · 스타레인,1. 잘생김\n2. 가끔 재부팅
12,R,R,"언더 그라운드 · 감시관, 처형인",06/16,30,185,1,리하르트 헬무트 하이넬,Richard Helmut Heinel,독일,1. 문신 뜻: 책임\n2. 고양이보다 개인시간 선호\n3. 식사 예절 철저\n4. 물대포 경험 있음\n5. 별장+서핑\n6. 단 것 좋아함
13,Y,Y,언더 그라운드 · 양육자,04/23,22,182,3,백연,白姸,대한민국 전주,"조손가정, 판소리 집안"
14,X,X,언더 그라운드 · 예술가,08/12,25,176,1,위신옌,危歆魇,홍콩,1. 엄격한 명문가 출신
15,라,라멘타,그림 리퍼 · 재앙,11/27,34,190,1,라멘타,Laménta,불명,
16,F,하피,? · 배신자,09/15,27,196,1,펠리체 에런 도버만,Felice Aaron Dobermann,독일-미국 혼혈 · 스타레인,1. 고양이 혀
17,루,루두스,"그림 리퍼 · 조련사, 광대",09/16,26,186,3,루두스,Lūdus,불명,"프로레슬링 사회자 출신, 언변 좋음, 방송 꿈"
18,P,뽀삐,그림 리퍼 · 맹수,11/07,28,176,1,피에르 리오넷,Pierre,프랑스,1. 능력 각성 이후 안경을 안 써도 됨
19,느,느베야,그림 리퍼 · 간교한 자,12/25(추정),20,165,?,느베야,Nevaeh,게이트?,1. 요즘엔 도리토스가 좋아!
20,T,T,그림 리퍼 · 해탈한 자,01/23,25,165,1,요 탄리엔,幽昙莲,중국,
21,비,비광,울프독 · 승부사,07/07,30,186,1,아마코우 야나기,雨光 柳,일본,1. 경마도 좋아함.
22,미,미카엘,드라칼 · 까칠한 사서,10/19,21,168,1,미카엘 아스텔 리오넷,Michael Astre Lionnet,프랑스,1. 서점이나 도서관에 가면 못 나옴
23,아,아가페,그림 리퍼 · 사랑꾼,11/24,25,188,1,아가페,αγάπη,영국,1. 스콘엔 크림 먼저
24,사,사,슬럼 · 백사자,12/10,36,195,1,천무화,舛霧畵,대한민국 서울,1. 슬럼에서 나고 자랐음.
